物件名,住所,アクセス,最寄駅1,最寄駅1からの時間(分),最寄駅2,最寄駅2からの時間(分),最寄駅3,最寄駅3からの時間(分),築年数(年),建物の階数,階数,家賃(円),管理費(円),敷金(円),礼金(円),間取り,面積(m2)
ＡＸＡＳ南蒲田ＡｓｙｌＣｏｕｒｔ,東京都大田区南蒲田２, 京急空港線/糀谷駅 歩8分 京急本線/京急蒲田駅 歩12分 ＪＲ京浜東北線/蒲田駅 歩19分 ,京急空港線/糀谷駅駅,8,京急本線/京急蒲田駅駅,12,ＪＲ京浜東北線/蒲田駅駅,19,10,5,2,88000,8000,0,88000,1K,25.8
ＡＸＡＳ南蒲田ＡｓｙｌＣｏｕｒｔ,東京都大田区南蒲田２, 京急空港線/糀谷駅 歩8分 京急本線/京急蒲田駅 歩12分 ＪＲ京浜東北線/蒲田駅 歩19分 ,京急空港線/糀谷駅駅,8,京急本線/京急蒲田駅駅,12,ＪＲ京浜東北線/蒲田駅駅,19,10,5,1,120000,15000,120000,120000,1LDK,43.02
ステージファースト池上西アジールコート,東京都大田区千鳥２, 東急多摩川線/武蔵新田駅 歩7分 東急池上線/千鳥町駅 歩7分 東急池上線/池上駅 歩11分 ,東急多摩川線/武蔵新田駅駅,7,東急池上線/千鳥町駅駅,7,東急池上線/池上駅駅,11,15,6,4,80000,8000,80000,80000,1K,20.58
ヒルズ雪谷,東京都大田区南雪谷１, 東急池上線/雪が谷大塚駅 歩2分 東急池上線/石川台駅 歩7分 東急東横線/多摩川駅 歩20分 ,東急池上線/雪が谷大塚駅駅,2,東急池上線/石川台駅駅,7,東急東横線/多摩川駅駅,20,19,10,8,147000,3000,147000,147000,2LDK,47.41
パティーナ蒲田南DUO,東京都大田区東六郷３, 京急本線/六郷土手駅 歩6分 京急本線/雑色駅 歩15分 京急本線/京急川崎駅 歩26分 ,京急本線/六郷土手駅駅,6,京急本線/雑色駅駅,15,京急本線/京急川崎駅駅,26,3,4,3,83000,9500,0,83000,1K,25.91
パティーナ蒲田南DUO,東京都大田区東六郷３, 京急本線/六郷土手駅 歩6分 京急本線/雑色駅 歩15分 京急本線/京急川崎駅 歩26分 ,京急本線/六郷土手駅駅,6,京急本線/雑色駅駅,15,京急本線/京急川崎駅駅,26,3,4,2,85000,9500,0,85000,1K,25.8
パティーナ蒲田南DUO,東京都大田区東六郷３, 京急本線/六郷土手駅 歩6分 京急本線/雑色駅 歩15分 京急本線/京急川崎駅 歩26分 ,京急本線/六郷土手駅駅,6,京急本線/雑色駅駅,15,京急本線/京急川崎駅駅,26,3,4,2,85500,9500,0,85500,1K,25.8
パティーナ蒲田南DUO,東京都大田区東六郷３, 京急本線/六郷土手駅 歩6分 京急本線/雑色駅 歩15分 京急本線/京急川崎駅 歩26分 ,京急本線/六郷土手駅駅,6,京急本線/雑色駅駅,15,京急本線/京急川崎駅駅,26,3,4,3,85500,9500,0,85500,1K,25.64
パティーナ蒲田南DUO,東京都大田区東六郷３, 京急本線/六郷土手駅 歩6分 京急本線/雑色駅 歩15分 京急本線/京急川崎駅 歩26分 ,京急本線/六郷土手駅駅,6,京急本線/雑色駅駅,15,京急本線/京急川崎駅駅,26,3,4,3,85500,9500,0,85500,1K,25.6
パティーナ蒲田南DUO,東京都大田区東六郷３, 京急本線/六郷土手駅 歩6分 京急本線/雑色駅 歩15分 京急本線/京急川崎駅 歩26分 ,京急本線/六郷土手駅駅,6,京急本線/雑色駅駅,15,京急本線/京急川崎駅駅,26,3,4,3,88500,9500,0,88500,1K,25.6
F-BASE East,東京都大田区大森東４, 京急本線/大森町駅 歩11分 京急本線/梅屋敷駅 歩11分 京急本線/京急蒲田駅 歩20分 ,京急本線/大森町駅駅,11,京急本線/梅屋敷駅駅,11,京急本線/京急蒲田駅駅,20,5,3,3,121000,5200,121000,121000,1LDK,40.5
F-BASE East,東京都大田区大森東４, 京急本線/大森町駅 歩11分 京急本線/梅屋敷駅 歩11分 京急本線/京急蒲田駅 歩20分 ,京急本線/大森町駅駅,11,京急本線/梅屋敷駅駅,11,京急本線/京急蒲田駅駅,20,5,3,2,123000,5200,123000,123000,1LDK,40.5
F-BASE East,東京都大田区大森東４, 京急本線/大森町駅 歩11分 京急本線/梅屋敷駅 歩11分 京急本線/京急蒲田駅 歩20分 ,京急本線/大森町駅駅,11,京急本線/梅屋敷駅駅,11,京急本線/京急蒲田駅駅,20,5,3,3,124000,5200,124000,124000,1LDK,40.5
Opus residence Meguro Senzoku,東京都大田区北千束２, 東急目黒線/洗足駅 歩5分 東急大井町線/北千束駅 歩5分 東急目黒線/大岡山駅 歩12分 ,東急目黒線/洗足駅駅,5,東急大井町線/北千束駅駅,5,東急目黒線/大岡山駅駅,12,4,7,4,201000,15000,201000,0,2LDK,43.65
Opus residence Meguro Senzoku,東京都大田区北千束２, 東急目黒線/洗足駅 歩5分 東急大井町線/北千束駅 歩5分 東急目黒線/大岡山駅 歩12分 ,東急目黒線/洗足駅駅,5,東急大井町線/北千束駅駅,5,東急目黒線/大岡山駅駅,12,4,7,1,269000,15000,269000,0,2LDK,63.24
Opus residence Meguro Senzoku,東京都大田区北千束２, 東急目黒線/洗足駅 歩5分 東急大井町線/北千束駅 歩5分 東急目黒線/大岡山駅 歩12分 ,東急目黒線/洗足駅駅,5,東急大井町線/北千束駅駅,5,東急目黒線/大岡山駅駅,12,4,7,3,273000,15000,273000,0,2SLDK,63.02
Opus residence Meguro Senzoku,東京都大田区北千束２, 東急目黒線/洗足駅 歩5分 東急大井町線/北千束駅 歩5分 東急目黒線/大岡山駅 歩12分 ,東急目黒線/洗足駅駅,5,東急大井町線/北千束駅駅,5,東急目黒線/大岡山駅駅,12,4,7,7,379000,15000,379000,0,4LDK,81.61
スカイコート蒲田壱番館,東京都大田区蒲田４, ＪＲ京浜東北線/蒲田駅 歩8分 京急空港線/京急蒲田駅 歩7分 東急池上線/蓮沼駅 歩18分 ,ＪＲ京浜東北線/蒲田駅駅,8,京急空港線/京急蒲田駅駅,7,東急池上線/蓮沼駅駅,18,13,8,2,80000,5000,80000,40000,1K,21.8
スカイコート蒲田壱番館,東京都大田区蒲田４, ＪＲ京浜東北線/蒲田駅 歩8分 京急空港線/京急蒲田駅 歩7分 東急池上線/蓮沼駅 歩18分 ,ＪＲ京浜東北線/蒲田駅駅,8,京急空港線/京急蒲田駅駅,7,東急池上線/蓮沼駅駅,18,13,8,5,79000,9000,0,79000,1K,22.62
スカイコート蒲田壱番館,東京都大田区蒲田４, ＪＲ京浜東北線/蒲田駅 歩8分 京急空港線/京急蒲田駅 歩7分 東急池上線/蓮沼駅 歩18分 ,ＪＲ京浜東北線/蒲田駅駅,8,京急空港線/京急蒲田駅駅,7,東急池上線/蓮沼駅駅,18,13,8,7,89500,0,89500,89500,1K,22.83
ＪＲ京浜東北線 蒲田駅 8階建 築13年,東京都大田区蒲田４, ＪＲ京浜東北線/蒲田駅 歩7分 京急本線/京急蒲田駅 歩7分 京急空港線/糀谷駅 歩14分 ,ＪＲ京浜東北線/蒲田駅駅,7,京急本線/京急蒲田駅駅,7,京急空港線/糀谷駅駅,14,13,8,7,79000,9000,79000,79000,1K,21.52
京急本線 京急蒲田駅 6階建 築8年,東京都大田区西糀谷１, 京急本線/京急蒲田駅 歩8分 京急空港線/糀谷駅 歩8分 京急本線/梅屋敷駅 歩13分 ,京急本線/京急蒲田駅駅,8,京急空港線/糀谷駅駅,8,京急本線/梅屋敷駅駅,13,8,6,4,88000,8000,0,88000,1K,26.07
CRYSTAL　STAGE,東京都大田区大森中２, 京急本線/梅屋敷駅 歩8分 京急本線/大森町駅 歩11分  ,京急本線/梅屋敷駅駅,8,京急本線/大森町駅駅,11,,0,,4,4,83000,0,0,0,1K,20.09
CRYSTAL　STAGE,東京都大田区大森中２, 京急本線/梅屋敷駅 歩8分 京急本線/大森町駅 歩11分  ,京急本線/梅屋敷駅駅,8,京急本線/大森町駅駅,11,,0,,4,3,81000,6000,0,0,1K,18.12
CRYSTAL　STAGE,東京都大田区大森中２, 京急本線/梅屋敷駅 歩8分 京急本線/大森町駅 歩11分  ,京急本線/梅屋敷駅駅,8,京急本線/大森町駅駅,11,,0,,4,3,83500,6000,0,0,1K,20.09
京急空港線 糀谷駅 6階建 築11年,東京都大田区萩中１, 京急空港線/糀谷駅 歩8分 京急本線/京急蒲田駅 歩16分 京急空港線/大鳥居駅 歩18分 ,京急空港線/糀谷駅駅,8,京急本線/京急蒲田駅駅,16,京急空港線/大鳥居駅駅,18,11,6,3,71500,8500,0,71500,1K,21.17
京急空港線 糀谷駅 6階建 築11年,東京都大田区萩中１, 京急空港線/糀谷駅 歩8分 京急本線/京急蒲田駅 歩16分 京急空港線/大鳥居駅 歩18分 ,京急空港線/糀谷駅駅,8,京急本線/京急蒲田駅駅,16,京急空港線/大鳥居駅駅,18,11,6,4,76000,9000,0,76000,1K,21.17
京急空港線 糀谷駅 6階建 築11年,東京都大田区萩中１, 京急空港線/糀谷駅 歩8分 京急本線/京急蒲田駅 歩16分 京急空港線/大鳥居駅 歩18分 ,京急空港線/糀谷駅駅,8,京急本線/京急蒲田駅駅,16,京急空港線/大鳥居駅駅,18,11,6,3,75000,10000,0,75000,1K,21.17
京急本線 六郷土手駅 3階建 築29年,東京都大田区西六郷３, 京急本線/六郷土手駅 歩9分 京急本線/雑色駅 歩16分 ＪＲ京浜東北線/蒲田駅 バス28分 (バス停)高畑小学校 歩3分 ,京急本線/六郷土手駅駅,9,京急本線/雑色駅駅,16,ＪＲ京浜東北線/蒲田駅駅,28,29,3,1,75000,2000,0,0,2DK,35.0
京急本線 六郷土手駅 3階建 築29年,東京都大田区西六郷３, 京急本線/六郷土手駅 歩9分 京急本線/雑色駅 歩16分 ＪＲ京浜東北線/蒲田駅 バス28分 (バス停)高畑小学校 歩3分 ,京急本線/六郷土手駅駅,9,京急本線/雑色駅駅,16,ＪＲ京浜東北線/蒲田駅駅,28,29,3,3,75000,5000,0,0,2DK,35.0
ハーモニーレジデンス羽田WEST,東京都大田区東糀谷３, 京急空港線/大鳥居駅 歩8分 京急空港線/穴守稲荷駅 歩9分 京急空港線/天空橋駅 歩16分 ,京急空港線/大鳥居駅駅,8,京急空港線/穴守稲荷駅駅,9,京急空港線/天空橋駅駅,16,12,10,8,74000,8000,0,74000,1K,21.45
ハーモニーレジデンス羽田WEST,東京都大田区東糀谷３, 京急空港線/大鳥居駅 歩8分 京急空港線/穴守稲荷駅 歩9分 京急空港線/天空橋駅 歩16分 ,京急空港線/大鳥居駅駅,8,京急空港線/穴守稲荷駅駅,9,京急空港線/天空橋駅駅,16,12,10,4,74500,12000,74500,74500,1K,21.45
プラウドフラット蒲田II,東京都大田区蒲田４, ＪＲ京浜東北線/蒲田駅 歩7分 京急本線/京急蒲田駅 歩3分 京急空港線/糀谷駅 歩15分 ,ＪＲ京浜東北線/蒲田駅駅,7,京急本線/京急蒲田駅駅,3,京急空港線/糀谷駅駅,15,16,1,6,92000,7000,92000,92000,1K,20.84
プラウドフラット蒲田II,東京都大田区蒲田４, ＪＲ京浜東北線/蒲田駅 歩7分 京急本線/京急蒲田駅 歩3分 京急空港線/糀谷駅 歩15分 ,ＪＲ京浜東北線/蒲田駅駅,7,京急本線/京急蒲田駅駅,3,京急空港線/糀谷駅駅,15,16,1,6,92000,7000,92000,92000,1K,20.79
プラウドフラット蒲田II,東京都大田区蒲田４, ＪＲ京浜東北線/蒲田駅 歩7分 京急本線/京急蒲田駅 歩3分 京急空港線/糀谷駅 歩15分 ,ＪＲ京浜東北線/蒲田駅駅,7,京急本線/京急蒲田駅駅,3,京急空港線/糀谷駅駅,15,16,1,10,93000,7000,93000,93000,1K,20.79
プラウドフラット蒲田II,東京都大田区蒲田４, ＪＲ京浜東北線/蒲田駅 歩7分 京急本線/京急蒲田駅 歩3分 京急空港線/糀谷駅 歩15分 ,ＪＲ京浜東北線/蒲田駅駅,7,京急本線/京急蒲田駅駅,3,京急空港線/糀谷駅駅,15,16,1,13,94000,7000,94000,94000,1K,20.84
プラウドフラット蒲田II,東京都大田区蒲田４, ＪＲ京浜東北線/蒲田駅 歩7分 京急本線/京急蒲田駅 歩3分 京急空港線/糀谷駅 歩15分 ,ＪＲ京浜東北線/蒲田駅駅,7,京急本線/京急蒲田駅駅,3,京急空港線/糀谷駅駅,15,16,1,12,94000,7000,94000,94000,1K,20.79
スマートＶＩＬＬＡ多摩川,東京都大田区多摩川１, 東急多摩川線/矢口渡駅 歩4分 東急多摩川線/武蔵新田駅 歩9分 東急池上線/蓮沼駅 歩14分 ,東急多摩川線/矢口渡駅駅,4,東急多摩川線/武蔵新田駅駅,9,東急池上線/蓮沼駅駅,14,,4,2,93000,5000,93000,0,1DK,28.9
スマートＶＩＬＬＡ多摩川,東京都大田区多摩川１, 東急多摩川線/矢口渡駅 歩4分 東急多摩川線/武蔵新田駅 歩9分 東急池上線/蓮沼駅 歩14分 ,東急多摩川線/矢口渡駅駅,4,東急多摩川線/武蔵新田駅駅,9,東急池上線/蓮沼駅駅,14,,4,4,97000,5000,97000,0,1DK,28.9
スマートＶＩＬＬＡ多摩川,東京都大田区多摩川１, 東急多摩川線/矢口渡駅 歩4分 東急多摩川線/武蔵新田駅 歩9分 東急池上線/蓮沼駅 歩14分 ,東急多摩川線/矢口渡駅駅,4,東急多摩川線/武蔵新田駅駅,9,東急池上線/蓮沼駅駅,14,,4,2,102000,5000,102000,0,1DK,32.51
スマートＶＩＬＬＡ多摩川,東京都大田区多摩川１, 東急多摩川線/矢口渡駅 歩4分 東急多摩川線/武蔵新田駅 歩9分 東急池上線/蓮沼駅 歩14分 ,東急多摩川線/矢口渡駅駅,4,東急多摩川線/武蔵新田駅駅,9,東急池上線/蓮沼駅駅,14,,4,4,107000,7000,107000,0,1DK,32.51
ＢｌｕＲｏｃｋ大鳥居,東京都大田区萩中３, 京急空港線/大鳥居駅 歩6分 京急空港線/糀谷駅 歩10分 京急本線/京急蒲田駅 歩22分 ,京急空港線/大鳥居駅駅,6,京急空港線/糀谷駅駅,10,京急本線/京急蒲田駅駅,22,4,5,2,155000,12000,0,0,1LDK,40.21
ＢｌｕＲｏｃｋ大鳥居,東京都大田区萩中３, 京急空港線/大鳥居駅 歩6分 京急空港線/糀谷駅 歩10分 京急本線/京急蒲田駅 歩22分 ,京急空港線/大鳥居駅駅,6,京急空港線/糀谷駅駅,10,京急本線/京急蒲田駅駅,22,4,5,2,169000,12000,169000,0,1LDK,45.04
イノアックハイツ田園調布南,東京都大田区田園調布南, 東急多摩川線/沼部駅 歩8分 東急東横線/多摩川駅 歩17分 東急多摩川線/鵜の木駅 歩7分 ,東急多摩川線/沼部駅駅,8,東急東横線/多摩川駅駅,17,東急多摩川線/鵜の木駅駅,7,36,4,3,115000,4000,115000,115000,1LDK,40.8
イノアックハイツ田園調布南,東京都大田区田園調布南, 東急多摩川線/沼部駅 歩8分 東急東横線/多摩川駅 歩17分 東急多摩川線/鵜の木駅 歩7分 ,東急多摩川線/沼部駅駅,8,東急東横線/多摩川駅駅,17,東急多摩川線/鵜の木駅駅,7,36,4,2,125000,4000,125000,125000,2DK,47.9
イノアックハイツ田園調布南,東京都大田区田園調布南, 東急多摩川線/沼部駅 歩8分 東急東横線/多摩川駅 歩17分 東急多摩川線/鵜の木駅 歩7分 ,東急多摩川線/沼部駅駅,8,東急東横線/多摩川駅駅,17,東急多摩川線/鵜の木駅駅,7,36,4,3,130000,4000,130000,130000,2DK,47.8
イノアックハイツ田園調布南,東京都大田区田園調布南, 東急多摩川線/沼部駅 歩8分 東急東横線/多摩川駅 歩17分 東急多摩川線/鵜の木駅 歩7分 ,東急多摩川線/沼部駅駅,8,東急東横線/多摩川駅駅,17,東急多摩川線/鵜の木駅駅,7,36,4,2,132000,4000,132000,132000,2LDK,54.9
都営浅草線 西馬込駅 6階建 築17年,東京都大田区仲池上２, 都営浅草線/西馬込駅 歩7分 東急池上線/池上駅 歩16分 東急池上線/千鳥町駅 歩22分 ,都営浅草線/西馬込駅駅,7,東急池上線/池上駅駅,16,東急池上線/千鳥町駅駅,22,17,6,1,78000,7000,78000,0,1K,25.44
